Date,Open,High,Low,Close,Adj Close,Volume
2020-11-09,73.975800,74.167999,73.643097,73.979797,73.979797,0
2020-11-10,74.139999,74.465797,73.877998,73.953201,73.953201,0
2020-11-11,74.472504,74.537903,74.108002,74.281601,74.281601,0
2020-11-12,74.624802,74.759003,74.365997,74.570000,74.570000,0
2020-11-13,74.671700,74.887299,74.466103,74.864998,74.864998,0
2020-11-16,74.589798,74.589798,74.379303,74.487701,74.487701,0
2020-11-17,74.550003,74.608902,74.326797,74.418098,74.418098,0
2020-11-18,74.480103,74.704803,74.035202,74.479698,74.479698,0
2020-11-19,74.419998,74.442299,74.119797,74.419998,74.419998,0
2020-11-20,74.099602,74.339203,74.072998,74.099602,74.099602,0
2020-11-23,74.119797,74.406303,74.002998,74.162399,74.162399,0
2020-11-24,74.244499,74.249001,73.884399,74.244904,74.244904,0
2020-11-25,73.960800,74.169998,73.748802,73.960800,73.960800,0
2020-11-26,73.779900,74.070503,73.738899,73.779900,73.779900,0
2020-11-27,74.048798,74.268501,73.746201,74.048798,74.048798,0
2020-11-30,73.935303,74.198502,73.879097,73.940903,73.940903,0
2020-12-01,74.025200,74.172897,73.464996,74.025200,74.025200,0
2020-12-02,73.669800,73.813797,73.398003,73.654999,73.654999,0
2020-12-03,73.662598,73.953201,73.630402,73.662598,73.662598,0
2020-12-04,73.939003,74.087303,73.659698,73.864899,73.864899,0
2020-12-07,73.790298,73.947998,73.631798,73.790298,73.790298,0
2020-12-08,73.809898,74.037300,73.542000,74.019997,74.019997,0
2020-12-09,73.832298,73.939796,73.530998,73.726402,73.726402,0
2020-12-10,73.817299,73.934998,73.624001,73.934998,73.934998,0
2020-12-11,73.726700,73.922501,73.536499,73.726700,73.726700,0
2020-12-14,73.737999,73.780998,73.470001,73.737999,73.737999,0
2020-12-15,73.860001,73.900299,73.502197,73.860001,73.860001,0
2020-12-16,73.759804,73.795998,73.458603,73.759804,73.759804,0
2020-12-17,73.824799,73.824799,73.384697,73.616600,73.616600,0
2020-12-18,73.604797,73.754799,73.471001,73.529800,73.529800,0
2020-12-21,73.603600,74.092003,73.512802,73.603600,73.603600,0
2020-12-22,73.935303,74.202301,73.786697,73.935303,73.935303,0
2020-12-23,74.005501,74.269997,73.646400,74.269997,74.269997,0
2020-12-24,73.839798,74.099998,73.450798,73.839798,73.839798,0
2020-12-25,73.557800,73.800003,73.550003,73.557800,73.557800,0
2020-12-28,73.689003,73.734802,73.456200,73.689003,73.689003,0
2020-12-29,73.544899,73.767303,73.287201,73.544899,73.544899,0
2020-12-30,73.654999,73.664803,73.101601,73.453598,73.453598,0
2020-12-31,73.134003,73.349998,72.946602,73.134003,73.134003,0
2021-01-01,73.089203,73.319801,73.025002,73.089203,73.089203,0
2021-01-04,73.092003,73.200996,72.798500,73.092003,73.092003,0
2021-01-05,73.091499,73.329803,72.963501,73.320000,73.320000,0
2021-01-06,73.167999,73.360001,73.040001,73.374802,73.374802,0
2021-01-07,73.374802,73.467003,73.063004,73.360001,73.360001,0
2021-01-08,73.730003,73.739799,73.196198,73.445999,73.445999,0
2021-01-11,73.373398,73.584198,73.340302,73.373398,73.373398,0
2021-01-12,73.778999,73.778999,73.202003,73.513496,73.513496,0
2021-01-13,73.414001,73.414001,73.062798,73.165001,73.165001,0
2021-01-14,73.169998,73.353996,72.939003,73.169899,73.169899,0
2021-01-15,73.089996,73.378098,73.002502,73.087601,73.087601,0
2021-01-18,73.158997,73.419998,73.123001,73.158997,73.158997,0
2021-01-19,73.189201,73.307999,73.098999,73.188698,73.188698,0
2021-01-20,73.192001,73.192299,72.899300,73.191902,73.191902,0
2021-01-21,72.907898,73.045303,72.883003,72.910896,72.910896,0
2021-01-22,72.954903,73.237503,72.929001,72.954903,72.954903,0
2021-01-25,72.995903,73.220001,72.877998,72.995903,72.995903,0
2021-01-26,72.970001,73.222000,72.774498,72.970001,72.970001,0
2021-01-27,72.919899,73.071899,72.797997,72.919998,72.919998,0
2021-01-28,73.037003,73.174103,72.896797,73.037102,73.037102,0
2021-01-29,72.938797,73.030296,72.767502,72.938797,72.938797,0
2021-02-01,72.906601,73.203400,72.817101,72.906601,72.906601,0
2021-02-02,73.119797,73.324799,72.907600,73.119797,73.119797,0
2021-02-03,72.949997,73.002998,72.819000,72.916298,72.916298,0
2021-02-04,72.859802,72.990402,72.825996,72.858002,72.858002,0
2021-02-05,72.986099,73.022797,72.777702,72.945702,72.945702,0
2021-02-08,72.784798,73.014999,72.778000,72.784798,72.784798,0
2021-02-09,72.929901,73.004303,72.801201,72.929901,72.929901,0
2021-02-10,72.855598,73.109001,72.778000,72.854897,72.854897,0
2021-02-11,72.807297,72.878403,72.674202,72.807297,72.807297,0
2021-02-12,72.709503,72.825104,72.562798,72.709503,72.709503,0
2021-02-15,72.594803,72.684998,72.435997,72.594803,72.594803,0
2021-02-16,72.638702,72.914703,72.592499,72.638702,72.638702,0
2021-02-17,72.934998,73.153999,72.723000,72.934998,72.934998,0
2021-02-18,72.787003,72.804001,72.538696,72.797302,72.797302,0
2021-02-19,72.605499,72.714996,72.398300,72.605400,72.605400,0
2021-02-22,72.553001,72.589302,72.306503,72.553001,72.553001,0
2021-02-23,72.457901,72.556503,72.320000,72.444000,72.444000,0
2021-02-24,72.382103,72.598999,72.267998,72.376999,72.376999,0
2021-02-25,72.395599,72.766701,72.278999,72.400002,72.400002,0
2021-02-26,73.154900,74.178703,72.877998,73.150902,73.150902,0
2021-03-01,73.595901,74.125000,73.184998,73.595901,73.595901,0
2021-03-02,73.309402,73.871002,73.281502,73.309402,73.309402,0
2021-03-03,73.277496,73.319801,72.728798,73.277496,73.277496,0
2021-03-04,72.880699,73.108002,72.612198,72.880699,72.880699,0
2021-03-05,73.131798,73.311203,72.735001,73.131798,73.131798,0
2021-03-08,73.133400,73.415298,72.940002,73.133400,73.133400,0
2021-03-09,73.330399,73.386299,72.885597,73.330002,73.330002,0
2021-03-10,72.775803,73.078003,72.764900,72.775902,72.775902,0
2021-03-11,72.706100,72.797997,72.564796,72.706001,72.706001,0
2021-03-12,72.639000,72.873299,72.565002,72.639000,72.639000,0
2021-03-15,72.682999,72.781998,72.392303,72.682999,72.682999,0
2021-03-16,72.515297,72.945999,72.365501,72.515297,72.515297,0
2021-03-17,72.515701,73.008003,72.496300,72.515602,72.515602,0
2021-03-18,72.569801,72.744003,72.295601,72.295601,72.295601,0
2021-03-19,72.668701,72.737801,72.446503,72.668800,72.668800,0
2021-03-22,72.404999,72.949997,72.301003,72.404999,72.404999,0
2021-03-23,72.380501,72.539101,72.265999,72.380501,72.380501,0
2021-03-24,72.612297,73.080498,72.500900,72.612198,72.612198,0
2021-03-25,72.645599,73.137001,72.550003,72.645599,72.645599,0
2021-03-26,72.612801,72.660004,72.370300,72.612801,72.612801,0
2021-03-29,72.447304,72.827400,72.447304,72.447197,72.447197,0
2021-03-30,72.741898,73.652298,72.712997,72.741898,72.741898,0
2021-03-31,73.445297,73.612999,73.050003,73.445297,73.445297,0
2021-04-01,73.203499,73.462502,73.105003,73.203499,73.203499,0
2021-04-02,73.287300,73.409798,73.238503,73.287300,73.287300,0
2021-04-05,73.376099,73.451599,73.197304,73.375999,73.375999,0
2021-04-06,73.279503,73.529099,73.214600,73.279503,73.279503,0
2021-04-07,73.489998,74.532303,73.449799,73.489998,73.489998,0
2021-04-08,74.401497,74.905602,74.193001,74.401497,74.401497,0
2021-04-09,74.544502,75.006302,74.460503,74.544502,74.544502,0
2021-04-12,74.729599,75.178299,74.180199,74.729500,74.729500,0
2021-04-13,74.990997,75.517998,74.890404,74.990997,74.990997,0
2021-04-14,75.181900,75.260002,75.003899,75.181503,75.181503,0
2021-04-15,75.054001,75.362999,74.744003,75.026100,75.026100,0
2021-04-16,74.727402,74.836502,74.297699,74.727402,74.727402,0
2021-04-19,74.541298,75.045403,74.532997,74.563202,74.563202,0
2021-04-20,74.878197,75.724800,74.501999,74.878197,74.878197,0
2021-04-21,75.449203,75.690002,75.283203,75.449203,75.449203,0
