Date,Open,High,Low,Close,Adj Close
2020-12-02,48.049999,48.095001,47.842682,48.060001,48.060001
2020-12-03,48.020000,48.123001,47.849617,47.882465,47.882465
2020-12-04,47.985001,48.084999,47.875000,47.900810,47.900810
2020-12-07,48.078999,48.201000,47.978001,47.982151,47.982151
2020-12-08,48.220001,48.220001,48.012901,48.220001,48.220001
2020-12-09,48.180000,48.180000,47.919323,48.230000,48.230000
2020-12-10,48.250000,48.259998,47.920372,48.250000,48.250000
2020-12-11,48.240002,48.240002,47.924294,48.240002,48.240002
2020-12-14,48.119999,48.169998,47.891960,48.016777,48.016777
2020-12-15,48.013000,48.189999,47.630001,48.139999,48.139999
2020-12-16,48.048000,48.179001,47.945000,47.888000,47.888000
2020-12-17,48.150002,48.150002,47.910328,47.925224,47.925224
2020-12-18,48.090000,48.119999,47.917782,48.090000,48.090000
2020-12-21,48.068001,48.326000,47.715000,47.955944,47.955944
2020-12-22,48.160000,48.320000,47.950134,48.160000,48.160000
2020-12-23,48.230000,48.259998,47.910000,48.230000,48.230000
2020-12-24,48.119999,48.139999,47.278999,47.926598,47.926598
2020-12-25,48.049999,48.080002,47.906906,48.049999,48.049999
2020-12-28,48.035000,48.066002,47.846462,48.005001,48.005001
2020-12-29,48.070000,48.070000,47.892189,47.904972,47.904972
2020-12-30,48.099998,48.103001,47.893208,48.099998,48.099998
2020-12-31,48.070000,48.110001,47.888443,48.070000,48.070000
2021-01-01,48.070000,48.083000,47.895535,48.070000,48.070000
2021-01-04,48.004002,48.060001,47.884998,48.080002,48.080002
2021-01-05,48.040001,48.125000,47.912083,47.910000,47.910000
2021-01-06,48.099998,48.105000,47.922676,48.099998,48.099998
2021-01-07,48.090000,48.220001,47.920189,48.090000,48.090000
2021-01-08,48.174999,48.180000,47.946239,48.165001,48.165001
2021-01-11,48.074001,48.189999,48.002666,47.933743,47.933743
2021-01-12,48.018002,48.099998,47.919941,48.007999,48.007999
2021-01-13,48.064999,48.080002,47.900234,48.070000,48.070000
2021-01-14,48.015999,48.095001,47.872009,47.925999,47.925999
2021-01-15,47.948002,48.119999,47.895660,48.005001,48.005001
2021-01-18,48.012001,48.076000,47.918358,47.927479,47.927479
2021-01-19,48.057999,48.110001,47.911999,48.053001,48.053001
2021-01-20,48.055000,48.070000,47.910172,48.060001,48.060001
2021-01-21,48.055000,48.088001,47.924454,48.060001,48.060001
2021-01-22,48.084999,48.098999,47.898247,48.056000,48.056000
2021-01-25,48.074001,48.085999,47.954975,47.941189,47.941189
2021-01-26,48.084999,48.096001,47.949589,48.090000,48.090000
2021-01-27,48.039001,48.137001,47.935703,48.043999,48.043999
2021-01-28,48.127998,48.145000,47.954388,48.125000,48.125000
2021-01-29,48.095001,48.095001,47.935482,48.099998,48.099998
2021-02-01,48.046001,48.084000,47.909950,48.046001,48.046001
2021-02-02,48.033001,48.055000,47.594002,48.080002,48.080002
2021-02-03,47.845001,48.091999,47.776897,47.787624,47.787624
2021-02-04,48.005001,48.132000,47.894890,47.939999,47.939999
2021-02-05,48.080002,48.119999,47.945210,48.084999,48.084999
2021-02-08,48.105000,48.105999,47.937126,47.905022,47.905022
